Product,Category,Price_Now,Price_Before,Discounts %,Stock,Rating,Voters,Qualification %
"ALLDOCUBE GT Book Windows 11 Laptop de 14 pulgadas, Intel JasperLake N5100 de 11ª generación, Quad Core, 12 GB RAM 256 GB SSD, pantalla IPS FHD de 14 pulgadas, WiFi 6, Bluetooth 5.1, tipo C, portátil con teclado retroiluminado",ALLDOCUBE,379.9,433.4,12.3,Solo queda(n) 13 en stock,4.3,132.0,86.0
"ASUS TUF Dash 15 (2022), pantalla FHD de 15.6 pulgadas, 144 Hz, Intel Core i7-12650H, GeForce RTX 3060, DDR5 de 16 GB, SSD de 512 GB, Thunderbolt 4, Windows 11 Home, negro apagado, FX517ZM-AS73",ASUS,1149.99,1166.7,1.4,Con stock completo,4.5,911.0,90.0
"Dell Inspiron 15 3000 Series 3511 Laptop con pantalla táctil FHD de 15.6 pulgadas, Intel Core i5-1135G7, 32 GB DDR4 RAM, 1 TB PCIe SSD, lector de tarjetas SD, cámara web, HDMI, Wi-Fi, Windows 11 Home, negro",DELL,599.0,645.2,7.2,Solo queda(n) 12 en stock,4.3,147.0,86.0
"Lenovo Laptop Flex 5, pantalla táctil FHD de 14.0 pulgadas, AMD Ryzen 5 5500U, 16 GB de RAM, 512 GB de almacenamiento, gráficos AMD Radeon, Windows 11 Home, gris tormenta",LENOVO,599.99,627.8,4.4,Con stock completo,4.4,111.0,88.0
"ASUS ROG Strix G16 (2023) - Laptop para juegos, 16 pulgadas 16:10 FHD 165Hz, GeForce RTX 4060, Intel Core i7-13650HX, 16GB DDR5, 512GB PCIe SSD, Wi-Fi 6E, Windows 11, G614JV-AS73",ASUS,1399.99,1440.0,2.8,Con stock completo,3.1,310.0,62.0
"Chromebook 2021 Dell con pantalla táctil convertible 2 en 1 de 11.6 pulgadas, procesador Intel Celeron de hasta 2.48 GHz, 4 GB Ram 16 GB SSD, HDMI, Chrome OS (pantalla táctil) (renovado)",DELL,79.0,121.4,34.9,Solo queda(n) 2 en stock,3.8,658.0,76.0
"MSI Katana GF66 15.6"" 144Hz FHD Gaming Laptop: Intel Core i7-12650H RTX 3050 Ti 16GB 512GB NVMe SSD, USB 3.2 Gen 1, audio de alta resolución, Cooler Boost 5, Win11 Home: negro 12UD-436",MSI,899.0,930.7,3.4,Con stock completo,4.3,120.0,86.0
"ASUS ROG Strix G16 (2023), laptop para juegos, 16 pulgadas 16:10 FHD 165Hz, GeForce RTX 4070, Intel Core i9-13980HX, 16GB DDR5, 1TB PCIe SSD, Wi-Fi 6E, Windows 11, G614JI-AS94",ASUS,1999.99,2011.0,0.6,Con stock completo,4.1,18.0,82.0
Lenovo - 2022 - IdeaPad 3i - Computadora portátil esencial - Intel Core i5 de 12ª generación - Pantalla FHD de 15.6 pulgadas - Memoria de 8 GB - Almacenamiento de 512 GB - Windows 11 Pro,LENOVO,529.99,545.5,2.8,Con stock completo,4.5,450.0,90.0
"[2021 Version]ASUS Vivobook Laptop L210 11.6” ultra thin, Intel Celeron N4020 Processor, 4GB RAM, 64GB eMMC storage, Windows 10 Home in S mode with One Year of Office 365 Personal, L210MA-DB01",ASUS,149.0,182.2,18.2,Con stock completo,4.3,8096.0,86.0
Lenovo Pantalla táctil LCD 2 en 1 MediaTek M8173C Quad-core 2.1GHz 4GB LPDDR3 32GB memoria flash Chrome OS modelo 81H0000US (renovado),LENOVO,109.0,141.6,23.0,Solo queda(n) 2 en stock,4.0,904.0,80.0
"ASUS ROG Strix Scar 15 Gaming Laptop, 15.6"" 300Hz IPS Type FHD Display, NVIDIA GeForce RTX 3080, AMD Ryzen 9 5900HX, 16GB DDR4, 1TB SSD, Opti-Mechanical Per-Key RGB Keyboard, Windows 11, G533QS-DS94",ASUS,1499.99,1537.6,2.4,Con stock completo,4.3,124.0,86.0
Lenovo IdeaPad Gaming 3i - 2022 - Portátil para juegos de uso diario - NVIDIA GeForce RTX 3050Ti Graphics - Pantalla FHD de 15.6 pulgadas - Memoria de 8 GB - Almacenamiento de 512 GB - Intel i7 12ª generación - Gris ónix,LENOVO,829.99,868.0,4.4,Con stock completo,4.4,1571.0,88.0
"Lenovo IdeaPad 3 11 Chromebook - Laptop de 11.6 pulgadas, pantalla HD de 11.6 pulgadas (1366 x 768), procesador Intel Celeron N4020, 4GB RAM LPDDR4, almacenamiento eMMC de 64 GB, Intel UHD Graphics 600, Chrome OS, 82BA0003US, negro ónix",LENOVO,136.0,146.8,7.4,Solo queda(n) 7 en stock,4.4,4680.0,88.0
"Lenovo IdeaPad Laptop de 15.6 pulgadas, pantalla HD antirreflejos, procesador AMD de doble núcleo, 20 GB RAM 1 TB SSD, WiFi6 Bluetooth5, batería de 9.5 horas, accesorios Windows 11 + GM",LENOVO,398.0,442.9,10.1,Con stock completo,4.4,9.0,88.0
"Acer Laptop delgada Aspire 5 de 15.6 pulgadas FHD IPS 2023, Intel Core i3-1115G4(hasta 4.1 GHz), 20 GB de RAM, 512 GB NVMe SSD, WiFi 6, USB, RJ-45, cámara web, Amazon Alexa, Windows 11 S, con accesorios GM",ACER,419.0,457.8,8.5,Con stock completo,4.4,603.0,88.0
"Lenovo IdeaPad 1i Laptop con pantalla HD de 14 pulgadas, procesador Intel Pentium Silver N5030 (4 núcleos, hasta 3.1 GHz), 4 GB de RAM, 256 GB de almacenamiento (128 GB eMMC + 128 GB tarjeta MSD), batería de 10 horas, Win 11 S, 1 año Microsoft 365",LENOVO,219.0,229.7,4.7,Con stock completo,4.0,29.0,80.0
"Acer Laptop Aspire 5 Slim Essential 2023, pantalla IPS Full HD de 15.6 pulgadas, 20 GB de RAM, SSD de 1 TB, procesador Intel de doble núcleo i3 de hasta 4.1 GHz, HDMI, Windows 11 S",ACER,439.99,462.7,4.9,Con stock completo,4.2,28.0,84.0
"Coolby Laptop con Windows 11 2023, pantalla IPS de 15.6 pulgadas, pantalla IPS de 1920 x 1080, 12 GB DDR4 RAM ,  256 GB SSD, procesador Intel J4125 Quad-Core, compatible con WiFi de 2.4G, 5G, BT, teclado de tamaño completo",COOLBY,319.0,365.1,12.6,Con stock completo,4.4,28.0,88.0
"Lenovo IdeaPad 1i Laptop con pantalla HD de 14 pulgadas, procesador Intel Pentium Silver N5030 (4 núcleos, hasta 3.1 GHz), 4 GB de RAM, 256 GB de almacenamiento (128 GB eMMC + 128 GB tarjeta MSD), batería de 10 horas, Win 11 S, 1 año Microsoft 365",LENOVO,219.0,256.4,14.6,Con stock completo,4.0,29.0,80.0
"Laptop HP 2020 HD de 14 pulgadas, Intel Celeron N4020 hasta 2.8 GHz, 4 GB DDR4, 64 GB de almacenamiento eMMC, WiFi 5, cámara web, HDMI, Windows 10 S , Accesorios legendarios (compatible con Google Classroom o Zoom) (oro rosa)",HP,319.99,341.6,6.3,Con stock completo,4.5,2587.0,90.0
"Dell Latitude 7490 Intel Core i7-8650U 16GB DDR4 RAM, SSD de 512GB de 14"" FHD Windows 10 Pro Laptop (renovado)",DELL,359.0,389.7,7.9,Solo queda(n) 20 en stock,4.2,392.0,84.0
Gateway Laptop convertible 2 en 1 con pantalla táctil 11.6 HD en azul Intel N4020 4GB RAM 64GB SSD Mini-HDMI Webcam Windows 10 S (Renovado) (GT-116),GATEWAY,139.0,155.4,10.6,Solo queda(n) 1 en stock,3.9,551.0,78.0
"Lenovo Laptop Ideapad 3 2022, pantalla táctil HD de 15.6 pulgadas, procesador Intel Core i3-1115G4 de 11ª generación, 8 GB de RAM DDR4, SSD PCIe NVMe de 256 GB, HDMI, cámara web, Wi-Fi 5, Bluetooth, Windows 11 Home, gris platino",LENOVO,373.0,397.1,6.1,Con stock completo,4.4,203.0,88.0
"Lenovo IdeaPad 1i - Laptop HD de 14 pulgadas, 4 GB de RAM, almacenamiento de 256 GB, procesador Intel Pentium N5030, duración de la batería de 10 horas, carga rápida, portátil para el hogar y la educación, HDMI, tipo C, Windows 11S, Microsoft 365 de 1 año",LENOVO,218.99,248.1,11.7,Con stock completo,4.5,460.0,90.0
"Lenovo IdeaPad 1i Laptop con pantalla HD de 14 pulgadas, procesador Intel Pentium Silver N5030 (4 núcleos, hasta 3.1 GHz), 4 GB de RAM, 256 GB de almacenamiento (128 GB eMMC + 128 GB tarjeta MSD), batería de 10 horas, Win 11 S, 1 año Microsoft 365",LENOVO,219.0,247.0,11.3,Con stock completo,4.0,29.0,80.0
"Laptop HP Stream 2021 HD SVA 14 pulgadas, Intel Celeron N4000, 4 GB de RAM, memoria flash eMMC 64 GB, webcam, 1 año Office, gráficos Intel UHD 600, Win 10S, rosa rosal, tarjeta USB SnowBell 32 GB",HP,289.0,323.8,10.8,Con stock completo,4.2,886.0,84.0
"Lenovo Laptop IdeaPad 1 de 15.6 pulgadas, procesador AMD de doble núcleo, pantalla HD antirreflejos de 15.6 pulgadas, Wi-Fi 6 y Bluetooth 5.0, HDMI, Windows 11 Home en modo S (20 GB de RAM ,  SSD de 1 TB)",LENOVO,399.0,452.4,11.8,Con stock completo,4.2,109.0,84.0
"HP Nueva laptop 2022, pantalla LED HD de 15.6 pulgadas, procesador Intel de doble núcleo, gráficos Intel UHD, 16 GB DDR4 RAM, SSD de 1 TB, puerto Ethernet, USB tipo C, larga duración de la batería, Windows 11",HP,479.0,495.1,3.2,Con stock completo,4.3,559.0,86.0
"Laptop HP Victus Gaming 2022, pantalla FHD de 15.6 pulgadas, 144 Hz, núcleo i5-12450H (Beat R7 5800H), 16 GB 3200 RAM, 1 TB PCIe SSD, NVIDIA GeForce GTX 1650, WiFi 6, KB retroiluminado, RJ-45, HDMI, Win 11 H",HP,729.99,768.6,5.0,Solo queda(n) 11 en stock,4.2,97.0,84.0
"HP Laptop X360 14a Chromebook pantalla táctil HD de 14 pulgadas, entretenimiento desde cualquier ángulo Intel Celeron, 4GB DDR4 64GB eMMC WiFi Webcam altavoces estéreo Bluetooth 4.2 cromo azul metálico color",HP,222.2,243.1,8.6,Con stock completo,4.5,926.0,90.0
"Dell Laptop Inspiron 15 2022, pantalla HD de 15.6 pulgadas, procesador Intel Celeron N4020, RAM DDR4 de 16 GB, SSD PCIe de 1 TB, cámara web, HDMI, Wi-Fi, Bluetooth, Windows 11 Home, negro",DELL,423.0,458.6,7.8,Solo queda(n) 5 en stock,4.2,131.0,84.0
"ASUS Vivobook - Portátil HD ligero y delgado de 14 pulgadas 2023, AMD Ryzen 3 3250 (hasta 3.5 GHz), Intel HD Graphics 5000, 12 GB de RAM, 512 GB PCIe SSD, Wi-Fi 5, HDMI, Win 11 Home, gris + accesorios 3 en 1",ASUS,399.0,442.6,9.8,Con stock completo,4.4,2.0,88.0
"Lenovo IdeaPad Laptop de 15.6 pulgadas, pantalla HD antirreflejos, procesador AMD de doble núcleo, 20 GB RAM 1 TB SSD, WiFi6 Bluetooth5, batería de 9.5 horas, accesorios Windows 11 + GM",LENOVO,398.0,408.6,2.6,Con stock completo,4.4,9.0,88.0
"Acer Laptop Aspire 5 Slim Essential 2023, pantalla IPS Full HD de 15.6 pulgadas, 20 GB de RAM, SSD de 512 GB, procesador Intel de doble núcleo i3 de hasta 4.1 GHz, HDMI, Windows 11 S",ACER,409.99,449.0,8.7,Con stock completo,4.2,31.0,84.0
"ASUS Chromebook Flip C433 - Laptop 2 en 1, pantalla táctil FHD NanoEdge de 14 pulgadas, procesador Intel Core m3-8100Y, 8 GB de RAM, 64 GB de almacenamiento eMMC, teclado retroiluminado, plateado, Chrome OS, C433TA-AS384T",ASUS,262.8,309.4,15.1,Solo queda(n) 18 en stock,4.3,1094.0,86.0
"Laptop HP HD de 14 pulgadas, Windows 11, procesador Intel Celeron de doble núcleo de hasta 2.60 GHz, 4 GB de RAM, SSD de 64 GB, cámara web, rosa Dale (renovado) (Dale Pink)",HP,229.99,275.4,16.5,Solo queda(n) 5 en stock,4.2,879.0,84.0
"HP Victus - PC portátil para juegos de 15.6 pulgadas, NVIDIA GeForce RTX 3050 Ti, AMD Ryzen 7 5800H, pantalla IPS refinada de 1080p, diseño compacto, teclado todo en uno con panel táctil ampliado, cámara web HD (15-fb0028nr, 2022)",HP,979.9,994.7,1.5,Solo queda(n) 3 en stock,4.5,303.0,90.0
"Dell Laptop Inspiron 15 3511 2022, pantalla táctil FHD de 15.6 pulgadas, Intel Core i5-1035G1, 16 GB de RAM, 512 GB PCIe NVMe M.2 SSD, lector de tarjetas SD, cámara web, HDMI, WiFi, Windows 11 Home, negro",DELL,515.0,546.4,5.8,Solo queda(n) 13 en stock,4.3,199.0,86.0
"MSI Pulse GL66 15.6"" FHD 144Hz Gaming Laptop: Intel Core i7-12700H RTX 3070 16GB 512GB NVMe SSD, tipo C USB 3.2 Gen 1, teclado RGB Gaming Keyboard, Cooler Boost 5, Win11 Home: negro 12UGKV-464",MSI,1252.93,1287.7,2.7,Con stock completo,4.4,184.0,88.0
"HP Laptop Pavilion HD de 15.6 pulgadas, procesador Intel Quad-Core Pentium, 16 GB de RAM, 1 TB SSD, 11 horas de vida de batería, gráficos Intel UHD, cámara web HD, Bluetooth, HDMI, USB tipo C, rojo escarlata, Win 11",HP,469.0,504.0,6.9,Con stock completo,4.3,201.0,86.0
"ASUS Vivobook Go 12 L210 - Portátil ultrafino de 11.6 pulgadas, versión 2022, Intel Celeron N4020, 4 GB de RAM, 64 GB eMMC, Win 11 Home en modo S con un año de Office 365 Personal, L210MA-DS02",ASUS,151.95,166.2,8.6,Con stock completo,3.9,302.0,78.0
"HP Laptop Chromebook 14, Intel Celeron N4120, 4 GB de RAM, 64 GB eMMC, pantalla HD de 14 pulgadas, sistema operativo cromado, diseño delgado, gráficos 4K, batería de larga duración, teclado gris ceniza (14a-na0226nr, 2022, plata mineral)",HP,239.0,267.3,10.6,Solo queda(n) 2 en stock,4.4,1181.0,88.0
"jumper Laptop de 14 pulgadas 12 GB DDR4 RAM 256 GB SSD, Intel Quad Core Celeron N4100, Windows 11 Computadora portátil delgada y ligera, pantalla Full HD 1080P, cámara web HD, altavoces duales, WiFi de 2.4, 5 GHz, batería de larga duración",JUMPER,289.99,328.2,11.6,Con stock completo,4.5,779.0,90.0
"HP Portátil de 17 pulgadas, Intel Core i5-1135G7 de 11ª generación, gráficos Iris Xe, 8 GB de RAM, SSD de 256 GB, Windows 11 Home (17-cn0025nr, plata natural)",HP,577.0,623.5,7.5,Con stock completo,4.5,777.0,90.0
HP Elitebook 840 G5 Laptop Intel Core i7 1.80 GHz 16Gb Ram 512GB SSD Windows 10 Pro-64 (renovado),HP,399.0,452.6,11.8,Solo queda(n) 13 en stock,4.1,161.0,82.0
"HP Laptop BrightView HD 2022 de 15.6 pulgadas, procesador Intel Pentium Silver N5030, 8 GB de RAM, SSD PCIe de 256 GB, gráficos Intel HD 605, cámara web HD de 720p, altavoces estéreo, plata, Windows 11, tarjeta USB de 32 GB",HP,389.0,436.1,10.8,Con stock completo,4.3,210.0,86.0
"HP Laptop Pavilion HD de 15.6 pulgadas, procesador Intel Quad-Core Pentium, 16 GB de RAM, 1 TB SSD, 11 horas de vida de batería, gráficos Intel UHD, cámara web HD, Bluetooth, HDMI, USB tipo C, rojo escarlata, Win 11",HP,469.0,487.3,3.8,Con stock completo,4.3,201.0,86.0
"HP Laptop 2022, computadora HD de 15.6 pulgadas, Intel Pentium Silver N5030, 16 GB de RAM, 1 TB SSD, 1 año Office 365, Ethernet, cámara web, Wi-Fi, Bluetooth, carga rápida, Windows 10, cable HDMI LIONEYE",HP,499.99,534.6,6.5,Solo queda(n) 8 en stock,5.0,3.0,100.0
"Coolby Laptop con Windows 11 2023, pantalla IPS de 15.6 pulgadas, pantalla IPS de 1920 x 1080, 12 GB DDR4 RAM ,  256 GB SSD, procesador Intel J4125 Quad-Core, compatible con WiFi de 2.4G, 5G, BT, teclado de tamaño completo",COOLBY,319.0,353.3,9.7,Con stock completo,4.4,28.0,88.0
"Laptop HP 2020 HD de 14 pulgadas, Intel Celeron N4020 hasta 2.8 GHz, 4 GB DDR4, 64 GB de almacenamiento eMMC, WiFi 5, cámara web, HDMI, Windows 10 S , Accesorios legendarios (compatible con Google Classroom o Zoom) (oro rosa)",HP,319.99,332.1,3.6,Con stock completo,4.5,2587.0,90.0
"Ruzava Windows 10 Laptop Computers, 14"" 6GB RAM 128GB SSD Support 1TB SSD Expansion, 1920x1080 FHD Traditional Laptop for Work Study Entertainment-Gold",RUZAVA,209.99,262.6,20.0,Con stock completo,3.9,6.0,78.0
"ASUS Laptop estudiantil de grado militar 2022, pantalla de cuidado ocular certificada HD de 11.6 pulgadas, procesador Intel de doble núcleo, 4 GB de RAM, puerto Ethernet, teclado, USB tipo C, Win10 Pro (almacenamiento de 256 GB) (BR1100)",ASUS,188.99,200.0,5.5,Con stock completo,4.3,173.0,86.0
"Acer Laptop delgada Aspire 5 de 15.6 pulgadas FHD IPS 2023, Intel Core i3-1115G4(hasta 4.1 GHz), 20 GB de RAM, 512 GB NVMe SSD, WiFi 6, USB, RJ-45, cámara web, Amazon Alexa, Windows 11 S, con accesorios GM",ACER,419.0,432.2,3.0,Con stock completo,4.4,603.0,88.0
"Dell Laptop Inspiron 15 3511, pantalla táctil FHD de 15.6 pulgadas, Intel Core i5-1035G1, 12 GB de RAM, 256 GB PCIe NVMe M.2 SSD, lector de tarjetas SD, cámara web, HDMI, WiFi, Windows 11 Home, negro",DELL,473.0,506.0,6.5,Con stock completo,4.3,75.0,86.0
"HP Laptop 17 más reciente 2022, pantalla IPS FHD de 17.3 pulgadas, procesador Intel Core i5-1135G7 Quad-Core, gráficos Intel Iris Xe, 16 GB de RAM, 1 TB PCIe SSD, HDMI, Windows 11 + paño de microfibra",HP,678.0,723.6,6.3,Solo queda(n) 12 en stock,4.4,379.0,88.0
"MSI Computadora GF63, NVIDIA GeForce GTX 1650 Graphics, 15.6"" 8GB 256GB Intel Core i5-10300H X4 2.5GHz Win10, negro",MSI,619.0,646.4,4.2,Con stock completo,4.6,205.0,92.0
"Samsung Chromebook 4 (modelo 2021) Intel UHD Graphics 600 de 11.6 pulgadas, procesador Intel Celeron N4020, 4GB, 16GB- Wi-Fi - gris satinado (XE310XBA-KB1US)",SAMSUNG,109.84,149.6,26.6,Con stock completo,4.3,40.0,86.0
"HP Laptop Pavilion 17 2022, pantalla antirreflejos HD+ de 17.3 pulgadas, Intel Core i3-1115G4 de 11ª generación, 16 GB de RAM, SSD PCIe de 256 GB, CA inalámbrica, cámara web, larga duración de la batería, Windows 11, plateado (último modelo)",HP,515.99,564.3,8.6,Solo queda(n) 3 en stock,4.4,179.0,88.0
"ASUS Vivobook S 14 Flip 14"" WUXGA 16:10 Touch, AMD Ryzen 5 5600H CPU, 8 GB RAM, 512 GB SSD, NumberPad, huella digital, Windows 11 Home, azul silencioso, TN3402QA-AS54T",ASUS,613.0,661.5,7.3,Solo queda(n) 4 en stock,4.3,39.0,86.0
"Samsung Chromebook 4 (modelo 2021) Intel UHD Graphics 600, Celeron Processor N4020, 4GB, 32GB, Wi-Fi - (XE310XBA-KA1US)",SAMSUNG,147.0,198.4,25.9,Solo queda(n) 18 en stock,4.5,2088.0,90.0
"HP Laptop IPS HD 2023 de 15 pulgadas, Windows 11, procesador Intel Pentium de 4 núcleos hasta 2.70 GHz, 8 GB de RAM, SSD de 128 GB, HDMI, WiFi súper rápido de 6ª generación, rojo Dale (renovado)",HP,286.99,328.5,12.6,Con stock completo,4.8,25.0,96.0
"Acer Laptop Aspire 5 Slim Essential 2023, pantalla IPS Full HD de 15.6 pulgadas, 20 GB de RAM, SSD de 1 TB, procesador Intel de doble núcleo i3 de hasta 4.1 GHz, HDMI, Windows 11 S",ACER,439.99,490.0,10.2,Con stock completo,4.2,28.0,84.0
"Ruzava Windows 10 Laptop Computers, 14"" 6GB RAM 128GB SSD Support 1TB SSD Expansion, 1920x1080 FHD Traditional Laptop for Work Study Entertainment-Blue",RUZAVA,209.99,231.8,9.4,Con stock completo,4.8,13.0,96.0
"HP [Windows 11 Pro] 15 15.6"" Full HD Business Laptop, AMD 6-Core Ryzen 5 5500U (Beat i7-1160G7), 12GB RAM 256GB PCIe SSD, carga rápida, Wi-Fi 5, Bluetooth 4.2, HDMI, 9.5 horas de duración de la batería, con batería",HP,539.0,553.6,2.6,Solo queda(n) 1 en stock,4.3,50.0,86.0
"Ruzava Windows 10 Laptop Computers, 14"" 6GB RAM 128GB SSD Support 1TB SSD Expansion, 1920x1080 FHD Traditional Laptop for Work Study Entertainment-Red",RUZAVA,209.99,247.4,15.1,Con stock completo,4.6,6.0,92.0
"Acer Swift X SFX14-41G-R1S6 Creator - Laptop con pantalla de 14 pulgadas Full HD 100% sRGB, AMD Ryzen 7 5800U, NVIDIA RTX 3050Ti Laptop GPU, 16GB LPDDR4X, 512GB SSD, Wi-Fi 6, teclado retroiluminado, Amazon Alexa, Windows 10 Home",ACER,798.85,819.1,2.5,Con stock completo,4.4,709.0,88.0
"Dell Latitude 5490 ,  Intel 1.7 GHz Core i5-8350U Quad Core CPU ,  16GB RAM ,  512GB SSD ,  14"" FHD (1920 x 1080) Display ,  HDMI ,  USB-C ,  Webcam ,  Windows 10 Pro (Renovado)",DELL,284.99,337.0,15.4,Solo queda(n) 12 en stock,4.3,235.0,86.0
"Lenovo Laptop IdeaPad 1 de 15.6 pulgadas, procesador AMD de doble núcleo, pantalla HD antirreflejos de 15.6 pulgadas, Wi-Fi 6 y Bluetooth 5.0, HDMI, Windows 11 Home en modo S (12 GB de RAM ,  SSD de 256 GB)",LENOVO,319.0,367.5,13.2,Con stock completo,3.9,155.0,78.0
"HP EliteBook 840 G3 Laptop con pantalla HD de 14 pulgadas, Intel Core i5-6200U 2.3Ghz, SSD de 256 GB, RAM DDR4 de 16 GB, cámara web, WiFi, Windows 10 Pro (renovado)",HP,192.0,238.9,19.6,Con stock completo,4.1,1109.0,82.0
Dell Latitude 7480 - Computadora portátil FHD de 14 pulgadas - Intel Core i7-6600U 2.6 GHz 16 GB 512 GB SSD Windows 10 Professional (renovado),DELL,291.77,309.6,5.8,Solo queda(n) 1 en stock,4.1,423.0,82.0
"LG gram (2022) 17Z90Q - Laptop ultraligera, pantalla IPS de 17 pulgadas (2560 x 1600), procesador Intel Evo 12ª generación i7 1260P, LPDDR5 de 16 GB, SSD NVMe de 1 TB, cámara web FHD, WiFi 6E, Thunderbolt 4, Windows 11, negro",LG,1281.29,1318.3,2.8,Solo queda(n) 7 en stock,4.3,58.0,86.0
"Lo último en Lenovo ThinkPad E15 Gen 3 15.6"" FHD (16 GB de RAM, 512 GB PCIe SSD, AMD 8-Core Ryzen 7 4700U (Beat i7-1165G7), Full HD IPS) portátil empresarial, Wi-Fi 6, cámara web, Windows 10 Pro ,  Windows 11 Pro",LENOVO,869.98,918.5,5.3,Solo queda(n) 7 en stock,4.4,46.0,88.0
"Lenovo ThinkPad E15 15.6"" FHD (Intel Quad-Core i5-1135G7 (Beats i7-10510U), 16GB RAM, 512GB SSD) IPS Business Laptop, teclado retroiluminado, huella digital, Thunderbolt 4, Win 10 Pro ,  Win 11 Pro",LENOVO,879.98,922.1,4.6,Con stock completo,4.2,60.0,84.0
