Title,Rating,Price,Price_Anterior,Votante,Demanda
"SGIN Laptop de 15.6 pulgadas 12GB DDR4 512GB SSD, Windows 11 Laptops con Intel Celeron N5095, FHD 1920x1080, WiFi de doble banda, 2xUSB 3.0, hasta 2.9Ghz, Bluetooth 4.2, soporta expansión de tarjeta TF de 512GB, gris",4.5,,,(670),
Acer Laptop Chromebook 311 | AMD A-Series Dual-Core A4-9120C | Pantalla HD de 11.6 pulgadas | Gráficos AMD Radeon R4 | DDR4 de 4 GB | 64 GB eMMC | 802.11ac WiFi 5 | Bluetooth 4.2 | Chrome OS | CB311-10H-42LY,4.3,US$136.00,US$169.99US$169.99,(614),
"BROAGE Computadora portátil FHD de 15.6 pulgadas, Intel Quad-Core i5-8250U hasta 3.4 GHz, 8 GB de RAM, SSD de 512 GB, WiFi 5G, Ethernet RJ45, HDMI, USB 3.0, HDMI, cámara web, teclado retroiluminado, plata, Windows 10 Home, trabajo remoto",3.5,US$349.00,,(89),
"Bmax Laptop X14 Pro de 14.1 pulgadas AMD Ryzen 5 3450U (hasta 3.5 GHz) 8 GB DDR4 512 GB SSD Gaming Laptop 1920 x 1080 FHD Computadoras tradicionales delgadas expandibles de 1 TB SSD, HDMI, BT, USB3.0, 2.4G/5G WiFi",3.8,US$419.99,US$499.99US$499.99,(37),
"ALLDOCUBE GT Book Windows 11 Laptop de 14 pulgadas, Intel JasperLake N5100 de 11ª generación, Quad Core, 12 GB RAM 256 GB SSD, pantalla IPS FHD de 14 pulgadas, WiFi 6, Bluetooth 5.1, tipo C, portátil con teclado retroiluminado",4.3,US$379.90,,(132),Solo queda(n) 13 en stock (hay más unidades en camino).
"ASUS TUF Dash 15 (2022), pantalla FHD de 15.6 pulgadas, 144 Hz, Intel Core i7-12650H, GeForce RTX 3060, DDR5 de 16 GB, SSD de 512 GB, Thunderbolt 4, Windows 11 Home, negro apagado, FX517ZM-AS73",4.5,"US$1,149.99",,(911),
"SGIN Laptop de 15.6 pulgadas, 4GB DDR4 128GB SSD Windows 11 Laptops con Intel Celeron N4020C (hasta 2.8 GHz), Intel UHD Graphics 600, Mini HDMI, WiFi, cámara web, USB3.0, Bluetooth 4.2",4.4,US$999.98,"US$1,049.99US$1,049.99",(329),
"Dell Inspiron 15 3000 Series 3511 Laptop con pantalla táctil FHD de 15.6 pulgadas, Intel Core i5-1135G7, 32 GB DDR4 RAM, 1 TB PCIe SSD, lector de tarjetas SD, cámara web, HDMI, Wi-Fi, Windows 11 Home, negro",4.3,US$599.00,,(147),Solo queda(n) 12 en stock (hay más unidades en camino).
"Lenovo Laptop Flex 5, pantalla táctil FHD de 14.0 pulgadas, AMD Ryzen 5 5500U, 16 GB de RAM, 512 GB de almacenamiento, gráficos AMD Radeon, Windows 11 Home, gris tormenta",4.4,US$599.99,US$799.99US$799.99,(111),
"ASUS ROG Strix G16 (2023) - Laptop para juegos, 16 pulgadas 16:10 FHD 165Hz, GeForce RTX 4060, Intel Core i7-13650HX, 16GB DDR5, 512GB PCIe SSD, Wi-Fi 6E, Windows 11, G614JV-AS73",Nuevo en Amazon,"US$1,399.99",,,
"Chromebook 2021 Dell con pantalla táctil convertible 2 en 1 de 11.6 pulgadas, procesador Intel Celeron de hasta 2.48 GHz, 4 GB Ram 16 GB SSD, HDMI, Chrome OS (pantalla táctil) (renovado)",3.8,US$79.00,US$135.51US$135.51,(658),Solo queda(n) 2 en stock (hay más unidades en camino).
"MSI Katana GF66 15.6"" 144Hz FHD Gaming Laptop: Intel Core i7-12650H RTX 3050 Ti 16GB 512GB NVMe SSD, USB 3.2 Gen 1, audio de alta resolución, Cooler Boost 5, Win11 Home: negro 12UD-436",4.3,US$899.00,"US$1,149.00US$1,149.00",(120),
"ASUS ROG Strix G16 (2023), laptop para juegos, 16 pulgadas 16:10 FHD 165Hz, GeForce RTX 4070, Intel Core i9-13980HX, 16GB DDR5, 1TB PCIe SSD, Wi-Fi 6E, Windows 11, G614JI-AS94",4.1,"US$1,999.99",,(18),
Lenovo - 2022 - IdeaPad 3i - Computadora portátil esencial - Intel Core i5 de 12ª generación - Pantalla FHD de 15.6 pulgadas - Memoria de 8 GB - Almacenamiento de 512 GB - Windows 11 Pro,4.5,US$529.99,US$649.99US$649.99,(450),
"[2021 Version]ASUS Vivobook Laptop L210 11.6” ultra thin, Intel Celeron N4020 Processor, 4GB RAM, 64GB eMMC storage, Windows 10 Home in S mode with One Year of Office 365 Personal, L210MA-DB01",4.3,US$149.00,US$239.99US$239.99,"(8,096)",
Lenovo Pantalla táctil LCD 2 en 1 MediaTek M8173C Quad-core 2.1GHz 4GB LPDDR3 32GB memoria flash Chrome OS modelo 81H0000US (renovado),4.0,US$109.00,,(904),Solo queda(n) 2 en stock (hay más unidades en camino).
"ASUS ROG Strix Scar 15 Gaming Laptop, 15.6"" 300Hz IPS Type FHD Display, NVIDIA GeForce RTX 3080, AMD Ryzen 9 5900HX, 16GB DDR4, 1TB SSD, Opti-Mechanical Per-Key RGB Keyboard, Windows 11, G533QS-DS94",4.3,"US$1,499.99","US$1,999.99US$1,999.99",(124),
Lenovo IdeaPad Gaming 3i - 2022 - Portátil para juegos de uso diario - NVIDIA GeForce RTX 3050Ti Graphics - Pantalla FHD de 15.6 pulgadas - Memoria de 8 GB - Almacenamiento de 512 GB - Intel i7 12ª generación - Gris ónix,4.4,US$829.99,"US$1,099.99US$1,099.99","(1,571)",
"Lenovo IdeaPad 3 11 Chromebook - Laptop de 11.6 pulgadas, pantalla HD de 11.6 pulgadas (1366 x 768), procesador Intel Celeron N4020, 4GB RAM LPDDR4, almacenamiento eMMC de 64 GB, Intel UHD Graphics 600, Chrome OS, 82BA0003US, negro ónix",4.4,US$136.00,,"(4,680)",Solo queda(n) 7 en stock (hay más unidades en camino).
"Lenovo IdeaPad Laptop de 15.6 pulgadas, pantalla HD antirreflejos, procesador AMD de doble núcleo, 20 GB RAM 1 TB SSD, WiFi6 Bluetooth5, batería de 9.5 horas, accesorios Windows 11 + GM",4.4,US$398.00,,(9),
"Acer Laptop delgada Aspire 5 de 15.6 pulgadas FHD IPS 2023, Intel Core i3-1115G4(hasta 4.1 GHz), 20 GB de RAM, 512 GB NVMe SSD, WiFi 6, USB, RJ-45, cámara web, Amazon Alexa, Windows 11 S, con accesorios GM",4.4,US$419.00,US$499.00US$499.00,(603),
"Lenovo IdeaPad 1i Laptop con pantalla HD de 14 pulgadas, procesador Intel Pentium Silver N5030 (4 núcleos, hasta 3.1 GHz), 4 GB de RAM, 256 GB de almacenamiento (128 GB eMMC + 128 GB tarjeta MSD), batería de 10 horas, Win 11 S, 1 año Microsoft 365",4.0,US$219.00,,(29),
"Acer Laptop Aspire 5 Slim Essential 2023, pantalla IPS Full HD de 15.6 pulgadas, 20 GB de RAM, SSD de 1 TB, procesador Intel de doble núcleo i3 de hasta 4.1 GHz, HDMI, Windows 11 S",4.2,US$439.99,,(28),
"Coolby Laptop con Windows 11 2023, pantalla IPS de 15.6 pulgadas, pantalla IPS de 1920 x 1080, 12 GB DDR4 RAM / 256 GB SSD, procesador Intel J4125 Quad-Core, compatible con WiFi de 2.4G/5G, BT, teclado de tamaño completo",4.4,US$319.00,,(28),
"Lenovo IdeaPad 1i Laptop con pantalla HD de 14 pulgadas, procesador Intel Pentium Silver N5030 (4 núcleos, hasta 3.1 GHz), 4 GB de RAM, 256 GB de almacenamiento (128 GB eMMC + 128 GB tarjeta MSD), batería de 10 horas, Win 11 S, 1 año Microsoft 365",4.0,US$219.00,,(29),
"Laptop HP 2020 HD de 14 pulgadas, Intel Celeron N4020 hasta 2.8 GHz, 4 GB DDR4, 64 GB de almacenamiento eMMC, WiFi 5, cámara web, HDMI, Windows 10 S /Accesorios legendarios (compatible con Google Classroom o Zoom) (oro rosa)",4.5,US$319.99,,"(2,587)",
"Dell Latitude 7490 Intel Core i7-8650U 16GB DDR4 RAM, SSD de 512GB de 14"" FHD Windows 10 Pro Laptop (renovado)",4.2,US$359.00,"US$1,790.77US$1,790.77",(392),Solo queda(n) 20 en stock (hay más unidades en camino).
Gateway Laptop convertible 2 en 1 con pantalla táctil 11.6 HD en azul Intel N4020 4GB RAM 64GB SSD Mini-HDMI Webcam Windows 10 S (Renovado) (GT-116),3.9,US$139.00,US$166.75US$166.75,(551),Solo queda(n) 1 en stock (hay más unidades en camino).
"Lenovo Laptop Ideapad 3 2022, pantalla táctil HD de 15.6 pulgadas, procesador Intel Core i3-1115G4 de 11ª generación, 8 GB de RAM DDR4, SSD PCIe NVMe de 256 GB, HDMI, cámara web, Wi-Fi 5, Bluetooth, Windows 11 Home, gris platino",4.4,US$373.00,,(203),
"Lenovo IdeaPad 1i - Laptop HD de 14 pulgadas, 4 GB de RAM, almacenamiento de 256 GB, procesador Intel Pentium N5030, duración de la batería de 10 horas, carga rápida, portátil para el hogar y la educación, HDMI, tipo C, Windows 11S, Microsoft 365 de 1 año",4.5,US$218.99,,(460),
"Microsoft Surface Laptop Go - Laptop con pantalla táctil de 12.4 pulgadas, Intel Quad-Core i5-1035G1, 4 GB de RAM, 64 GB eMMC, cámara web, Win 10 Pro, Bluetooth, listo para clase en línea, platino",4.4,US$264.66,,(274),
"Lenovo IdeaPad 1i Laptop con pantalla HD de 14 pulgadas, procesador Intel Pentium Silver N5030 (4 núcleos, hasta 3.1 GHz), 4 GB de RAM, 256 GB de almacenamiento (128 GB eMMC + 128 GB tarjeta MSD), batería de 10 horas, Win 11 S, 1 año Microsoft 365",4.0,US$219.00,,(29),
"Laptop HP Stream 2021 HD SVA 14 pulgadas, Intel Celeron N4000, 4 GB de RAM, memoria flash eMMC 64 GB, webcam, 1 año Office, gráficos Intel UHD 600, Win 10S, rosa rosal, tarjeta USB SnowBell 32 GB",4.2,US$289.00,,(886),
"Lenovo Laptop IdeaPad 1 de 15.6 pulgadas, procesador AMD de doble núcleo, pantalla HD antirreflejos de 15.6 pulgadas, Wi-Fi 6 y Bluetooth 5.0, HDMI, Windows 11 Home en modo S (20 GB de RAM | SSD de 1 TB)",4.2,US$399.00,,(109),
"HP Nueva laptop 2022, pantalla LED HD de 15.6 pulgadas, procesador Intel de doble núcleo, gráficos Intel UHD, 16 GB DDR4 RAM, SSD de 1 TB, puerto Ethernet, USB tipo C, larga duración de la batería, Windows 11",4.3,US$479.00,,(559),
"Laptop HP Victus Gaming 2022, pantalla FHD de 15.6 pulgadas, 144 Hz, núcleo i5-12450H (Beat R7 5800H), 16 GB 3200 RAM, 1 TB PCIe SSD, NVIDIA GeForce GTX 1650, WiFi 6, KB retroiluminado, RJ-45, HDMI, Win 11 H",4.2,US$729.99,,(97),Solo queda(n) 11 en stock (hay más unidades en camino).
"HP Laptop X360 14a Chromebook pantalla táctil HD de 14 pulgadas, entretenimiento desde cualquier ángulo Intel Celeron, 4GB DDR4 64GB eMMC WiFi Webcam altavoces estéreo Bluetooth 4.2 cromo azul metálico color",4.5,US$222.20,,(926),
"Dell Laptop Inspiron 15 2022, pantalla HD de 15.6 pulgadas, procesador Intel Celeron N4020, RAM DDR4 de 16 GB, SSD PCIe de 1 TB, cámara web, HDMI, Wi-Fi, Bluetooth, Windows 11 Home, negro",4.2,US$423.00,,(131),Solo queda(n) 5 en stock (hay más unidades en camino).
"ASUS Vivobook - Portátil HD ligero y delgado de 14 pulgadas 2023, AMD Ryzen 3 3250 (hasta 3.5 GHz), Intel HD Graphics 5000, 12 GB de RAM, 512 GB PCIe SSD, Wi-Fi 5, HDMI, Win 11 Home, gris + accesorios 3 en 1",4.4,US$399.00,,(2),
"Lenovo IdeaPad Laptop de 15.6 pulgadas, pantalla HD antirreflejos, procesador AMD de doble núcleo, 20 GB RAM 1 TB SSD, WiFi6 Bluetooth5, batería de 9.5 horas, accesorios Windows 11 + GM",4.4,US$398.00,,(9),
"Acer Laptop Aspire 5 Slim Essential 2023, pantalla IPS Full HD de 15.6 pulgadas, 20 GB de RAM, SSD de 512 GB, procesador Intel de doble núcleo i3 de hasta 4.1 GHz, HDMI, Windows 11 S",4.2,US$409.99,,(31),
"ASUS Chromebook Flip C433 - Laptop 2 en 1, pantalla táctil FHD NanoEdge de 14 pulgadas, procesador Intel Core m3-8100Y, 8 GB de RAM, 64 GB de almacenamiento eMMC, teclado retroiluminado, plateado, Chrome OS, C433TA-AS384T",4.3,US$262.80,US$399.99US$399.99,"(1,094)",Solo queda(n) 18 en stock (hay más unidades en camino).
"Laptop HP HD de 14 pulgadas, Windows 11, procesador Intel Celeron de doble núcleo de hasta 2.60 GHz, 4 GB de RAM, SSD de 64 GB, cámara web, rosa Dale (renovado) (Dale Pink)",4.2,US$229.99,,(879),Solo queda(n) 5 en stock (hay más unidades en camino).
"HP Victus - PC portátil para juegos de 15.6 pulgadas, NVIDIA GeForce RTX 3050 Ti, AMD Ryzen 7 5800H, pantalla IPS refinada de 1080p, diseño compacto, teclado todo en uno con panel táctil ampliado, cámara web HD (15-fb0028nr, 2022)",4.5,US$979.90,"US$1,099.99US$1,099.99",(303),Solo queda(n) 3 en stock (hay más unidades en camino).
"Dell Laptop Inspiron 15 3511 2022, pantalla táctil FHD de 15.6 pulgadas, Intel Core i5-1035G1, 16 GB de RAM, 512 GB PCIe NVMe M.2 SSD, lector de tarjetas SD, cámara web, HDMI, WiFi, Windows 11 Home, negro",4.3,US$515.00,,(199),Solo queda(n) 13 en stock (hay más unidades en camino).
"MSI Pulse GL66 15.6"" FHD 144Hz Gaming Laptop: Intel Core i7-12700H RTX 3070 16GB 512GB NVMe SSD, tipo C USB 3.2 Gen 1, teclado RGB Gaming Keyboard, Cooler Boost 5, Win11 Home: negro 12UGKV-464",4.4,"US$1,252.93","US$1,599.00US$1,599.00",(184),
"HP Laptop Pavilion HD de 15.6 pulgadas, procesador Intel Quad-Core Pentium, 16 GB de RAM, 1 TB SSD, 11 horas de vida de batería, gráficos Intel UHD, cámara web HD, Bluetooth, HDMI, USB tipo C, rojo escarlata, Win 11",4.3,US$469.00,,(201),
"ASUS Vivobook Go 12 L210 - Portátil ultrafino de 11.6 pulgadas, versión 2022, Intel Celeron N4020, 4 GB de RAM, 64 GB eMMC, Win 11 Home en modo S con un año de Office 365 Personal, L210MA-DS02",3.9,US$151.95,US$249.99US$249.99,(302),
"HP Laptop Chromebook 14, Intel Celeron N4120, 4 GB de RAM, 64 GB eMMC, pantalla HD de 14 pulgadas, sistema operativo cromado, diseño delgado, gráficos 4K, batería de larga duración, teclado gris ceniza (14a-na0226nr, 2022, plata mineral)",4.4,US$239.00,US$289.99US$289.99,"(1,181)",Solo queda(n) 2 en stock (hay más unidades en camino).
"jumper Laptop de 14 pulgadas 12 GB DDR4 RAM 256 GB SSD, Intel Quad Core Celeron N4100, Windows 11 Computadora portátil delgada y ligera, pantalla Full HD 1080P, cámara web HD, altavoces duales, WiFi de 2.4/5 GHz, batería de larga duración",4.5,US$289.99,US$999.99US$999.99,(779),
"HP Portátil de 17 pulgadas, Intel Core i5-1135G7 de 11ª generación, gráficos Iris Xe, 8 GB de RAM, SSD de 256 GB, Windows 11 Home (17-cn0025nr, plata natural)",4.5,US$577.00,US$639.99US$639.99,(777),
HP Elitebook 840 G5 Laptop Intel Core i7 1.80 GHz 16Gb Ram 512GB SSD Windows 10 Pro-64 (renovado),4.1,US$399.00,"US$1,789.77US$1,789.77",(161),Solo queda(n) 13 en stock (hay más unidades en camino).
"HP Laptop BrightView HD 2022 de 15.6 pulgadas, procesador Intel Pentium Silver N5030, 8 GB de RAM, SSD PCIe de 256 GB, gráficos Intel HD 605, cámara web HD de 720p, altavoces estéreo, plata, Windows 11, tarjeta USB de 32 GB",4.3,US$389.00,,(210),
"HP Laptop Pavilion HD de 15.6 pulgadas, procesador Intel Quad-Core Pentium, 16 GB de RAM, 1 TB SSD, 11 horas de vida de batería, gráficos Intel UHD, cámara web HD, Bluetooth, HDMI, USB tipo C, rojo escarlata, Win 11",4.3,US$469.00,,(201),
"WAKST Laptop con Windows 11, Intel E3950 de 13.3 pulgadas de 2.0 GHz Intel HD Graphics 500, 6 GB de RAM + 128 GB de SSD, portátil delgado y ligero, WPS Office, USB 3.0, Bluetooth, MHDMI, gris",2.6,US$179.99,,(6),Solo queda(n) 8 en stock (hay más unidades en camino).
"HP Laptop 2022, computadora HD de 15.6 pulgadas, Intel Pentium Silver N5030, 16 GB de RAM, 1 TB SSD, 1 año Office 365, Ethernet, cámara web, Wi-Fi, Bluetooth, carga rápida, Windows 10, cable HDMI LIONEYE",5.0,US$499.99,,(3),Solo queda(n) 8 en stock (hay más unidades en camino).
"Coolby Laptop con Windows 11 2023, pantalla IPS de 15.6 pulgadas, pantalla IPS de 1920 x 1080, 12 GB DDR4 RAM / 256 GB SSD, procesador Intel J4125 Quad-Core, compatible con WiFi de 2.4G/5G, BT, teclado de tamaño completo",4.4,US$319.00,,(28),
"Laptop HP 2020 HD de 14 pulgadas, Intel Celeron N4020 hasta 2.8 GHz, 4 GB DDR4, 64 GB de almacenamiento eMMC, WiFi 5, cámara web, HDMI, Windows 10 S /Accesorios legendarios (compatible con Google Classroom o Zoom) (oro rosa)",4.5,US$319.99,,"(2,587)",
"Ruzava Windows 10 Laptop Computers, 14"" 6GB RAM 128GB SSD Support 1TB SSD Expansion, 1920x1080 FHD Traditional Laptop for Work Study Entertainment-Gold",3.9,US$209.99,US$269.99US$269.99,(6),
"ASUS Laptop estudiantil de grado militar 2022, pantalla de cuidado ocular certificada HD de 11.6 pulgadas, procesador Intel de doble núcleo, 4 GB de RAM, puerto Ethernet, teclado, USB tipo C, Win10 Pro (almacenamiento de 256 GB) (BR1100)",4.3,US$188.99,,(173),
"Acer Laptop delgada Aspire 5 de 15.6 pulgadas FHD IPS 2023, Intel Core i3-1115G4(hasta 4.1 GHz), 20 GB de RAM, 512 GB NVMe SSD, WiFi 6, USB, RJ-45, cámara web, Amazon Alexa, Windows 11 S, con accesorios GM",4.4,US$419.00,US$499.00US$499.00,(603),
"Dell Laptop Inspiron 15 3511, pantalla táctil FHD de 15.6 pulgadas, Intel Core i5-1035G1, 12 GB de RAM, 256 GB PCIe NVMe M.2 SSD, lector de tarjetas SD, cámara web, HDMI, WiFi, Windows 11 Home, negro",4.3,US$473.00,,(75),
"HP Laptop 17 más reciente 2022, pantalla IPS FHD de 17.3 pulgadas, procesador Intel Core i5-1135G7 Quad-Core, gráficos Intel Iris Xe, 16 GB de RAM, 1 TB PCIe SSD, HDMI, Windows 11 + paño de microfibra",4.4,US$678.00,,(379),Solo queda(n) 12 en stock (hay más unidades en camino).
"MSI Computadora GF63, NVIDIA GeForce GTX 1650 Graphics, 15.6"" 8GB 256GB Intel Core i5-10300H X4 2.5GHz Win10, negro",4.6,US$619.00,"US$1,099.99US$1,099.99",(205),
"Samsung Chromebook 4 (modelo 2021) Intel UHD Graphics 600 de 11.6 pulgadas, procesador Intel Celeron N4020, 4GB, 16GB- Wi-Fi - gris satinado (XE310XBA-KB1US)",4.3,US$109.84,US$224.99US$224.99,(40),
"HP Laptop Pavilion 17 2022, pantalla antirreflejos HD+ de 17.3 pulgadas, Intel Core i3-1115G4 de 11ª generación, 16 GB de RAM, SSD PCIe de 256 GB, CA inalámbrica, cámara web, larga duración de la batería, Windows 11, plateado (último modelo)",4.4,US$515.99,,(179),Solo queda(n) 3 en stock (hay más unidades en camino).
"ASUS Vivobook S 14 Flip 14"" WUXGA 16:10 Touch, AMD Ryzen 5 5600H CPU, 8 GB RAM, 512 GB SSD, NumberPad, huella digital, Windows 11 Home, azul silencioso, TN3402QA-AS54T",4.3,US$613.00,US$679.99US$679.99,(39),Solo queda(n) 4 en stock (hay más unidades en camino).
"Microsoft Surface Laptop Go - Laptop con pantalla táctil de 12.4 pulgadas, procesador Intel Core i5-1035G1, 4 GB de RAM, SSD PCIe de 128 GB, duración de la batería de hasta 13 horas, WiFi, cámara web, Windows 11 Pro, plateado platino",4.4,US$299.99,,(29),
"Samsung Chromebook 4 (modelo 2021) Intel UHD Graphics 600/Celeron Processor N4020, 4GB, 32GB, Wi-Fi - (XE310XBA-KA1US)",4.5,US$147.00,US$229.99US$229.99,"(2,088)",Solo queda(n) 18 en stock (hay más unidades en camino).
"HP Laptop IPS HD 2023 de 15 pulgadas, Windows 11, procesador Intel Pentium de 4 núcleos hasta 2.70 GHz, 8 GB de RAM, SSD de 128 GB, HDMI, WiFi súper rápido de 6ª generación, rojo Dale (renovado)",4.8,US$286.99,,(25),
"Acer Laptop Aspire 5 Slim Essential 2023, pantalla IPS Full HD de 15.6 pulgadas, 20 GB de RAM, SSD de 1 TB, procesador Intel de doble núcleo i3 de hasta 4.1 GHz, HDMI, Windows 11 S",4.2,US$439.99,,(28),
"Ruzava Windows 10 Laptop Computers, 14"" 6GB RAM 128GB SSD Support 1TB SSD Expansion, 1920x1080 FHD Traditional Laptop for Work Study Entertainment-Blue",4.8,US$209.99,US$269.99US$269.99,(13),
"HP [Windows 11 Pro] 15 15.6"" Full HD Business Laptop, AMD 6-Core Ryzen 5 5500U (Beat i7-1160G7), 12GB RAM 256GB PCIe SSD, carga rápida, Wi-Fi 5, Bluetooth 4.2, HDMI, 9.5 horas de duración de la batería, con batería",4.3,US$539.00,US$609.00US$609.00,(50),Solo queda(n) 1 en stock (hay más unidades en camino).
"Ruzava Windows 10 Laptop Computers, 14"" 6GB RAM 128GB SSD Support 1TB SSD Expansion, 1920x1080 FHD Traditional Laptop for Work Study Entertainment-Red",4.6,US$209.99,US$269.99US$269.99,(6),
"Acer Swift X SFX14-41G-R1S6 Creator - Laptop con pantalla de 14 pulgadas Full HD 100% sRGB, AMD Ryzen 7 5800U, NVIDIA RTX 3050Ti Laptop GPU, 16GB LPDDR4X, 512GB SSD, Wi-Fi 6, teclado retroiluminado, Amazon Alexa, Windows 10 Home",4.4,US$798.85,,(709),
"Dell Latitude 5490 / Intel 1.7 GHz Core i5-8350U Quad Core CPU / 16GB RAM / 512GB SSD / 14"" FHD (1920 x 1080) Display / HDMI / USB-C / Webcam / Windows 10 Pro (Renovado)",4.3,US$284.99,"US$1,099.99US$1,099.99",(235),Solo queda(n) 12 en stock (hay más unidades en camino).
"Microsoft Surface Pro 8 - Pantalla táctil de 13 pulgadas, Intel Evo Platform, Core i5, memoria de 8 GB, SSD de 256 GB. Solo dispositivo, grafito (último modelo)",4.0,US$829.99,"US$1,199.99US$1,199.99",(106),Solo queda(n) 3 en stock (hay más unidades en camino).
"Lenovo Laptop IdeaPad 1 de 15.6 pulgadas, procesador AMD de doble núcleo, pantalla HD antirreflejos de 15.6 pulgadas, Wi-Fi 6 y Bluetooth 5.0, HDMI, Windows 11 Home en modo S (12 GB de RAM | SSD de 256 GB)",3.9,US$319.00,US$369.00US$369.00,(155),
"HP EliteBook 840 G3 Laptop con pantalla HD de 14 pulgadas, Intel Core i5-6200U 2.3Ghz, SSD de 256 GB, RAM DDR4 de 16 GB, cámara web, WiFi, Windows 10 Pro (renovado)",4.1,US$192.00,US$207.99US$207.99,"(1,109)",
Dell Latitude 7480 - Computadora portátil FHD de 14 pulgadas - Intel Core i7-6600U 2.6 GHz 16 GB 512 GB SSD Windows 10 Professional (renovado),4.1,US$291.77,,(423),Solo queda(n) 1 en stock (hay más unidades en camino).
"LG gram (2022) 17Z90Q - Laptop ultraligera, pantalla IPS de 17 pulgadas (2560 x 1600), procesador Intel Evo 12ª generación i7 1260P, LPDDR5 de 16 GB, SSD NVMe de 1 TB, cámara web FHD, WiFi 6E, Thunderbolt 4, Windows 11, negro",4.3,"US$1,281.29","US$1,799.99US$1,799.99",(58),Solo queda(n) 7 en stock (hay más unidades en camino).
"Alienware Laptop para juegos m15 R7 - 15.6 pulgadas 240Hz 2ms QHD, Intel Core i9-12900H, 32GB DDR5 RAM, 1TB SSD, NVIDIA Geforce RTX 3080, Killer AX 1675i con servicios Dell, Windows 11 Home - Oscuro",4.0,"US$2,762.00",,(127),Solo queda(n) 2 en stock (hay más unidades en camino).
"Lo último en Lenovo ThinkPad E15 Gen 3 15.6"" FHD (16 GB de RAM, 512 GB PCIe SSD, AMD 8-Core Ryzen 7 4700U (Beat i7-1165G7), Full HD IPS) portátil empresarial, Wi-Fi 6, cámara web, Windows 10 Pro / Windows 11 Pro",4.4,US$869.98,,(46),Solo queda(n) 7 en stock (hay más unidades en camino).
"Lenovo ThinkPad E15 15.6"" FHD (Intel Quad-Core i5-1135G7 (Beats i7-10510U), 16GB RAM, 512GB SSD) IPS Business Laptop, teclado retroiluminado, huella digital, Thunderbolt 4, Win 10 Pro / Win 11 Pro",4.2,US$879.98,,(60),
